Label;Part Type;mn;mpn;part number;
100uF1;Electrolytic Capacitor;;;;
104;Ceramic Capacitor;;;;
1K;1kΩ Resistor;;;;
220;220Ω Resistor;;;;
220;220Ω Resistor;;;;
4.7K;4.7kΩ Resistor;;;;
470nf;Ceramic Capacitor;;;;
A1;VL53lox;;;;
AD9833;Generic female header - 7 pins;;;;
audio;3.5mm  Audio Jack-wq-pj320b.fzpz;;;;
LDR;Photocell (LDR);;;;
LED8;Red (635nm) LED;;;;
midi;3.5mm  Audio Jack-wq-pj320b.fzpz;;;;
Nano;Arduino Nano (Rev3.0);;;;
RE1;Rotary Encoder;;;;
S5;SPST Switch;;;;
TDA7052A;IC;;;;
U2;AD9833 Module;;;;
VCC1;4 x AAA Battery Mount;;;;
VL53L0/1XV2;Generic female header - 6 pins;;;;

Amount;Part Type;mn;mpn;part number;
1;1kΩ Resistor;;;;
2;220Ω Resistor;;;;
2;3.5mm  Audio Jack-wq-pj320b.fzpz;;;;
1;4 x AAA Battery Mount;;;;
1;4.7kΩ Resistor;;;;
1;AD9833 Module;;;;
1;Arduino Nano (Rev3.0);;;;
2;Ceramic Capacitor;;;;
1;Electrolytic Capacitor;;;;
1;Generic female header - 6 pins;;;;
1;Generic female header - 7 pins;;;;
1;IC;;;;
1;Photocell (LDR);;;;
1;Red (635nm) LED;;;;
1;Rotary Encoder;;;;
1;SPST Switch;;;;
1;VL53lox;;;;
